Loaded test-roms/TST8080.COM to 0x0100, Size: 1536 bytes
PC: 035D, AF: 7816, BC: 7878, DE: 7878, HL: 7878, SP: 07BD, CYC: 0 (2D 65 5C 53)
PC: 035E, AF: 7816, BC: 7878, DE: 7878, HL: 7877, SP: 07BD, CYC: 0 (65 5C 53 4A)
PC: 035F, AF: 7816, BC: 7878, DE: 7878, HL: 7777, SP: 07BD, CYC: 0 (5C 53 4A 41)
PC: 0360, AF: 7816, BC: 7878, DE: 7877, HL: 7777, SP: 07BD, CYC: 0 (53 4A 41 78)
PC: 0361, AF: 7816, BC: 7878, DE: 7777, HL: 7777, SP: 07BD, CYC: 0 (4A 41 78 FE)
PC: 0362, AF: 7816, BC: 7877, DE: 7777, HL: 7777, SP: 07BD, CYC: 0 (41 78 FE 77)
PC: 0363, AF: 7816, BC: 7777, DE: 7777, HL: 7777, SP: 07BD, CYC: 0 (78 FE 77 C4)
PC: 0364, AF: 7716, BC: 7777, DE: 7777, HL: 7777, SP: 07BD, CYC: 0 (FE 77 C4 A0)
PC: 0366, AF: 7756, BC: 7777, DE: 7777, HL: 7777, SP: 07BD, CYC: 0 (C4 A0 06 AF)
PC: 0369, AF: 7756, BC: 7777, DE: 7777, HL: 7777, SP: 07BD, CYC: 0 (AF 06 01 0E)
PC: 036A, AF: 0046, BC: 7777, DE: 7777, HL: 7777, SP: 07BD, CYC: 0 (06 01 0E 03)
PC: 036C, AF: 0046, BC: 0177, DE: 7777, HL: 7777, SP: 07BD, CYC: 0 (0E 03 16 07)
PC: 036E, AF: 0046, BC: 0103, DE: 7777, HL: 7777, SP: 07BD, CYC: 0 (16 07 1E 0F)
PC: 0370, AF: 0046, BC: 0103, DE: 0777, HL: 7777, SP: 07BD, CYC: 0 (1E 0F 26 1F)
PC: 0372, AF: 0046, BC: 0103, DE: 070F, HL: 7777, SP: 07BD, CYC: 0 (26 1F 2E 3F)
PC: 0374, AF: 0046, BC: 0103, DE: 070F, HL: 1F77, SP: 07BD, CYC: 0 (2E 3F 80 81)
PC: 0376, AF: 0046, BC: 0103, DE: 070F, HL: 1F3F, SP: 07BD, CYC: 0 (80 81 82 83)
PC: 0377, AF: 0102, BC: 0103, DE: 070F, HL: 1F3F, SP: 07BD, CYC: 0 (81 82 83 84)
PC: 0378, AF: 0402, BC: 0103, DE: 070F, HL: 1F3F, SP: 07BD, CYC: 0 (82 83 84 85)
PC: 0379, AF: 0B02, BC: 0103, DE: 070F, HL: 1F3F, SP: 07BD, CYC: 0 (83 84 85 87)
PC: 037A, AF: 1A12, BC: 0103, DE: 070F, HL: 1F3F, SP: 07BD, CYC: 0 (84 85 87 FE)
